Rent,Neighborhood,Title,Posting Date,URL,Bed/Bath,Size
975,whitman,2 bedroom apt,Wed 08 Apr 03:05:57 PM,https://boston.craigslist.org/sob/apa/d/whitman-2-bedroom-apt/7105375404.html,2BR / 1Ba,N/A
2100,N/A,HUGE 1 BED HEART OF COOLIDGE CORNER BAY WINDOWS SUNNY MODERN NO FEE!!,Wed 08 Apr 03:03:15 PM,https://boston.craigslist.org/gbs/apa/d/brookline-huge-1-bed-heart-of-coolidge/7105373756.html,1BR / 1Ba,500ft2
1500,Allston,SWEET STUDIO! NEAR HARVARD@ COMM!! MODERN SUNDRENCHED MUST SEE 6/1,Wed 08 Apr 03:00:57 PM,https://boston.craigslist.org/gbs/apa/d/brookline-sweet-studio-near-harvard/7105372317.html,0BR / 1Ba,N/A
2486,Braintree,"Patio/ balcony, Upgraded espresso cabinetry, Walk-in closets, Pantry",Wed 08 Apr 02:57:57 PM,https://boston.craigslist.org/sob/apa/d/braintree-patio-balcony-upgraded/7105370520.html,2BR / 2Ba,1280ft2
1981,Tewksbury,"Built-in desk, Built in computer desk, Poolside grilling areas, Gate",Wed 08 Apr 02:54:45 PM,https://boston.craigslist.org/nwb/apa/d/tewksbury-built-in-desk-built-in/7105368651.html,2BR / 2Ba,1177ft2
1750,Salem,"Location, Community, Quality Living. It Starts Here!",Wed 08 Apr 02:44:04 PM,https://boston.craigslist.org/nos/apa/d/salem-location-community-quality-living/7105362090.html,2BR / 1Ba,750ft2
2200,Hull/Hingham Line,House 2 bdrm 2 bath,Wed 08 Apr 02:37:39 PM,https://boston.craigslist.org/sob/apa/d/hull-house-2-bdrm-2-bath/7105358077.html,2BR / 1.5Ba,1225ft2
2095,N/A,"*NO FEE* Sunny 3 Bed available NOW, Laundry, Porch, Parking, Pets, Bus",Wed 08 Apr 02:33:30 PM,https://boston.craigslist.org/nos/apa/d/everett-no-fee-sunny-3-bed-available/7105355484.html,3BR / 1Ba,1000ft2
2436,Foxborough,"Pet Friendly, Billiards, Wood plank flooring, 9 ft. ceilings, Pantry",Wed 08 Apr 02:31:12 PM,https://boston.craigslist.org/sob/apa/d/foxboro-pet-friendly-billiards-wood/7105353982.html,2BR / 2Ba,1280ft2
2200,Arlington Center,SPACIOUS 2BR 2BA HEATED GARAGE  AC DW BUS @ DOOR TO HVD AVAIL 6/1,Wed 08 Apr 02:29:04 PM,https://boston.craigslist.org/gbs/apa/d/arlington-spacious-2br-2ba-heated/7105352570.html,2BR / 2Ba,N/A
2994,Fort Point,Perfectly Priced 1 Bedroom Loft in the Seaport! NO FEE,Wed 08 Apr 02:19:51 PM,https://boston.craigslist.org/gbs/apa/d/boston-perfectly-priced-1-bedroom-loft/7105346647.html,1BR / 0Ba,548ft2
